title	repository	comment
	https://github.com/rime/rime-essay-simp	
	https://github.com/satifanie/rime-dict	
	https://github.com/swoiow/rime-dictionary	
### 词库构建转换		
	https://github.com/bryan824/scel2rime	
	https://github.com/Cassius0924/Scel2Rime	
	https://github.com/crazywhalecc/rime-dict-creator	
	https://github.com/kenchou/rime-dict-utils	
	https://github.com/lewangdev/scel2txt	
	https://github.com/nk2028/rime-utils-python	
	https://github.com/nopdan/rose	
	https://github.com/outloudvi/mw2fcitx	
	https://github.com/studyzy/imewlconverter	
	https://github.com/TimoLin/text2dict-rime	
	https://github.com/velviagris/rime_to_gboard	
	https://github.com/whitewatercn/rimetool	
### 配置管理扩展工具		
	https://github.com/baopaau/rime-pinyin-translating	漢語拼音系統轉寫
	https://github.com/BlindingDark/rime-lua-select-character	以词定字
	https://github.com/CanCLID/rime-cantonese-schemes-editor	
	https://github.com/Coloryr/RimeSharp	librime的C#托管层
	https://github.com/dragonish/huma-rime-adder	基于虎码秃版方案的 Rime 加词器 （GUI）
	https://github.com/emacs-rime/liberime	
	https://github.com/gaboolic/librime-bert-gram	
	https://github.com/GarthTB/RimeDictManager	RIME 词库管理器（Windows）
	https://github.com/HowcanoeWang/rime-lua-aux-code	辅助码与音形分离插件
	https://github.com/JACKCHAN000/Rime-Lua-GoogleTranslate	
	https://github.com/KyleBing/wubi-dict-editor	
	https://github.com/KyleBing/wubi-dict-editor-web	
	https://github.com/lxl66566/rime-formatter	VS Code 插件
	https://github.com/MapoMagpie/rimedm	rime词典管理器（TUI）
	https://github.com/marguerite/rime-plum-go	plum東風破（Go版，CLI）
	https://github.com/mengqi92/Rimebow	元宝（Rimebow），VS Code 插件
	https://github.com/myshiqiqi/WubiMaster	rime 五笔的管理器（Windows），镜像 [空山明月/中书君-Rime管理器](https://gitee.com/hi-coder/WubiMaster)
	https://github.com/neolee/sct	Squirrel Configuration Tool（macOS, SCU项目的现代化继任者）
	https://github.com/puddinging/rime-cli	自定义词的添加（CLI）
	https://github.com/qzly/RimeControl	小狼毫 Weasel的基本配置工具（Windows）
	https://github.com/rime/plum	東風破，中州韻輸入法引擎的配置管理工具（CLI）
	https://github.com/Tsinswreng/rime-TswG	
	https://github.com/tuberry/ibus-tweaker	GNOME Shell extension，ibus字体调整等
	https://github.com/whjiang/rime_table_bin_decompiler	
	https://github.com/wlh320/rime-ls	
	https://github.com/yanhuacuo/rimetool	中州韵助手（重构版，GUI）
	https://github.com/Yiklek/RimeTool	一个Rime工具箱，支持控制算法服务和方案部署。
	https://github.com/zishuzy/rime_userdb_merger	
## 主题		
### 主题（配色模板）		
	https://github.com/0xffan/rose-pine-rime	
	https://github.com/catppuccin/squirrel	
	https://github.com/dearxs/Rime-Themes	
	https://github.com/dracula/rime	
	https://github.com/hekatech/RIME-style	
	https://github.com/Mintimate/RimeTheme	手机版Android（同文输入法）和iOS（仓输入法）
	https://github.com/nobodysclown/rime-wechat-keyboard	
	https://github.com/OscarXWei/Squirrel-Skin-Collection	
	https://github.com/puddinging/rime-skin	
	https://github.com/Rjlintkh/rime-theme-windows11	
	https://github.com/shaochenshi/rime_skin	
	https://github.com/thebaldingken/rime-skin-yellowish	
	https://github.com/thep0y/fcitx5-themes-candlelight	fcitx5主题
	https://github.com/Wenti-D/Astralwelkin	手机版Android（同文输入法）
	https://github.com/Xenapte/rime-theme-nord	
%	[laloe74/hamster.yaml](https://gist.github.com/laloe74/c0c2b481abb7f0f272a1b0c86cf67dc0)	仓输入法 微信键盘布局+配色
%	[zsakvo/squirrel-custom.yaml](https://gist.github.com/zsakvo/fff6e4859265d5d629439d5ccb553f8a)	微信键盘配色鼠须管皮肤
### 主题编辑工具		
	https://github.com/fxliang/RimeSeeMe	配色（Web） <https://fxliang.github.io/RimeSeeMe/>
